"cntry";"avg_age"
"AT";47,0387947730465
"BE";47,3756048407306
"CH";47,2166738733805
"CZ";46,3574301562804
"DE";48,3176086663106
"EE";48,050032596339
"ES";48,3762368301702
"FI";48,7994124739283
"FR";48,1000858922295
"GB";46,9802952929227
"HU";48,0499382374692
"IE";45,3807566964451
"IL";42,6220382567624
"IS";44,3251906384939
"IT";49,6363545674144
"LT";47,4179336664054
"NL";46,9414588428299
"NO";45,8771745201608
"PL";46,6978072143849
"PT";49,1053040570337
"RU";44,0375156528988
"SE";47,8026032330618
"SI";48,4297559189757
